Rk,Player▲,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
12,Darrell Armstrong\armstda01,2004,2005,2,93,2659,344,895,152,499,142,165,79,274,376,148,18,183,178,982,0.384,0.305,0.861,28.6,10.6,2.9,4
13,Hilton Armstrong\armsthi01,2007,2010,4,209,2697,292,569,0,2,159,263,221,568,78,61,113,187,434,743,0.513,0,0.605,12.9,3.6,2.7,0.4
14,Stacey Augmon\augmost01,2003,2004,2,139,2278,222,539,1,14,164,211,78,293,154,82,24,116,194,609,0.412,0.071,0.777,16.4,4.4,2.1,1.1
15,Gustavo Ayón\ayongu01,2012,2012,1,54,1088,140,261,0,1,39,63,86,265,74,53,46,46,118,319,0.536,0,0.619,20.1,5.9,4.9,1.4
16,Ömer Aşık\asikom01,2015,2018,4,189,3763,355,688,0,0,219,388,419,1362,115,56,89,174,333,929,0.516,,0.564,19.9,4.9,7.2,0.6
17,Luke Babbitt\babbilu01,2014,2016,3,137,2148,274,635,139,319,66,87,55,347,106,35,29,64,205,753,0.431,0.436,0.759,15.7,5.5,2.5,0.8
18,Lonzo Ball\balllo01,2020,2020,1,56,1817,259,628,139,363,38,67,63,348,392,80,30,172,110,695,0.412,0.383,0.567,32.4,12.4,6.2,7
19,Brandon Bass\bassbr01,2006,2007,2,50,430,43,114,0,1,24,35,31,111,6,5,10,21,34,110,0.377,0,0.686,8.6,2.2,2.2,0.1
20,Lonny Baxter\baxtelo01,2005,2005,1,4,36,3,11,0,0,0,2,4,8,0,0,0,4,10,6,0.273,,0,9,1.5,2,0
21,Jerryd Bayless\bayleje01,2011,2011,1,11,149,17,49,3,14,13,17,2,15,28,2,1,17,16,50,0.347,0.214,0.765,13.5,4.5,1.4,2.5
22,Marco Belinelli\belinma01,2011,2012,2,146,3923,588,1377,241,608,199,254,36,323,193,86,11,146,261,1616,0.427,0.396,0.783,26.9,11.1,2.2,1.3
23,Dairis Bertāns\bertada02,2019,2019,1,12,167,12,47,10,34,0,0,2,9,10,1,0,2,7,34,0.255,0.294,,13.9,2.8,0.8,0.8
24,Ryan Bowen\bowenry01,2008,2009,2,74,879,71,138,0,1,19,34,65,124,34,46,16,20,114,161,0.514,0,0.559,11.9,2.2,1.7,0.5
25,Anthony Brown\brownan02,2017,2017,1,9,143,14,41,6,24,0,0,6,26,6,5,1,5,13,34,0.341,0.25,,15.9,3.8,2.9,0.7
26,Bobby Brown\brownbo02,2010,2010,1,22,328,60,152,17,66,8,8,1,18,46,9,1,24,28,145,0.395,0.258,1,14.9,6.6,0.8,2.1
27,Devin Brown\brownde02,2007,2010,3,160,3498,472,1193,163,471,270,341,113,479,261,106,19,202,282,1377,0.396,0.346,0.792,21.9,8.6,3,1.6
28,P.J. Brown\brownpj01,2003,2006,4,315,10559,1265,2654,0,4,701,828,928,2675,570,265,253,390,855,3231,0.477,0,0.847,33.5,10.3,8.5,1.8
29,Tierre Brown\brownti01,2004,2004,1,3,17,2,4,0,0,2,4,0,1,2,0,0,7,1,6,0.5,,0.5,5.7,2,0.3,0.7
30,Rasual Butler\butlera01,2006,2009,4,293,7587,1010,2484,410,1097,247,342,158,859,214,139,181,201,515,2677,0.407,0.374,0.722,25.9,9.1,2.9,0.7
31,Elden Campbell\campbel01,2003,2003,1,41,685,101,247,0,1,93,115,34,142,42,24,31,42,102,295,0.409,0,0.809,16.7,7.2,3.5,1
32,Maurice Carter\cartema01,2004,2004,1,6,60,6,21,3,8,5,8,2,8,2,0,0,3,5,20,0.286,0.375,0.625,10,3.3,1.3,0.3
33,Omri Casspi\casspom01,2017,2017,1,1,24,5,9,2,4,0,0,1,2,0,0,0,2,3,12,0.556,0.5,,24,12,2,0
34,Tyson Chandler\chandty01,2007,2009,3,197,6753,829,1356,0,2,358,629,805,2225,169,97,269,332,631,2016,0.611,0,0.569,34.3,10.2,11.3,0.9
35,Zylan Cheatham\cheatzy01,2020,2020,1,3,31,2,5,0,1,0,0,1,6,2,0,1,3,5,4,0.4,0,,10.3,1.3,2,0.7
36,Josh Childress\childjo01,2014,2014,1,4,24,0,0,0,0,0,0,0,3,2,1,0,1,1,0,,,,6,0,0.8,0.5
37,Ian Clark\clarkia01,2018,2019,2,134,2428,373,878,128,397,78,96,23,216,204,55,18,115,215,952,0.425,0.322,0.813,18.1,7.1,1.6,1.5
38,Speedy Claxton\claxtsp01,2005,2006,2,87,2384,345,846,18,72,271,361,44,224,427,130,8,181,207,979,0.408,0.25,0.751,27.4,11.3,2.6,4.9
39,Norris Cole\coleno01,2015,2016,2,73,1881,308,736,61,176,78,100,11,202,257,52,12,116,151,755,0.418,0.347,0.78,25.8,10.3,2.8,3.5
40,Darren Collison\collida01,2010,2010,1,76,2109,376,789,46,115,148,174,41,192,432,78,4,202,92,946,0.477,0.4,0.851,27.8,12.4,2.5,5.7
41,Quinn Cook\cookqu01,2017,2017,1,9,111,22,41,6,12,2,3,1,4,14,3,0,5,7,52,0.537,0.5,0.667,12.3,5.8,0.4,1.6
42,Charles Cooke\cookech01,2018,2018,1,13,38,2,14,1,8,1,2,0,2,1,1,0,1,0,6,0.143,0.125,0.5,2.9,0.5,0.2,0.1
43,DeMarcus Cousins\couside01,2017,2018,2,65,2311,548,1178,140,390,388,515,142,828,323,104,95,304,258,1624,0.465,0.359,0.753,35.6,25,12.7,5
44,Jordan Crawford\crawfjo02,2017,2018,2,24,495,117,245,45,109,21,27,6,38,70,12,3,30,37,300,0.478,0.413,0.778,20.6,12.5,1.6,2.9
45,Dante Cunningham\cunnida01,2015,2018,4,263,6387,614,1335,162,473,122,192,233,962,190,154,114,120,449,1512,0.46,0.342,0.635,24.3,5.7,3.7,0.7
46,Antonio Daniels\daniean01,2009,2009,1,61,733,81,191,17,49,55,67,5,55,130,19,1,49,41,234,0.424,0.347,0.821,12,3.8,0.9,2.1
47,Anthony Davis\davisan02,2013,2019,7,466,16108,4153,8030,181,576,2572,3234,1208,4906,982,639,1121,869,1106,11059,0.517,0.314,0.795,34.6,23.7,10.5,2.1
48,Baron Davis\davisba01,2003,2005,3,135,5168,997,2503,330,1002,404,579,138,540,950,280,53,393,378,2728,0.398,0.329,0.698,38.3,20.2,4,7
49,Bryce Dejean-Jones\dejeabr01,2016,2016,1,14,279,28,69,12,32,11,21,8,48,15,10,2,11,17,79,0.406,0.375,0.524,19.9,5.6,3.4,1.1
50,Cheick Diallo\diallch01,2017,2019,3,133,1676,306,523,1,4,115,154,145,616,56,44,61,84,212,728,0.585,0.25,0.747,12.6,5.5,4.6,0.4
51,Dan Dickau\dickada01,2005,2005,1,67,2074,305,748,84,242,188,225,34,179,346,76,4,144,200,882,0.408,0.347,0.836,31,13.2,2.7,5.2
52,Toney Douglas\douglto01,2015,2016,2,73,1439,202,496,86,221,92,112,27,165,181,81,9,74,151,582,0.407,0.389,0.821,19.7,8,2.3,2.5
53,Bryce Drew\drewbr01,2003,2004,2,28,157,12,45,4,14,3,3,4,19,24,6,0,11,3,31,0.267,0.286,1,5.6,1.1,0.7,0.9
54,Larry Drew\drewla02,2018,2018,1,7,55,6,17,3,6,0,0,2,2,8,0,0,2,4,15,0.353,0.5,,7.9,2.1,0.3,1.1
55,Jerome Dyson\dysonje01,2012,2012,1,9,180,19,48,1,8,28,36,2,19,18,11,2,20,19,67,0.396,0.125,0.778,20,7.4,2.1,2
56,Corsley Edwards\edwarco01,2005,2005,1,10,110,10,31,0,0,7,12,12,25,3,3,4,2,19,27,0.323,,0.583,11,2.7,2.5,0.3
57,Melvin Ely\elyme01,2008,2014,3,85,1021,125,281,0,0,55,94,58,210,40,9,28,65,142,305,0.445,,0.585,12,3.6,2.5,0.5
58,James Ennis\ennisja01,2016,2016,1,9,282,50,100,24,50,19,24,17,35,18,12,3,17,26,143,0.5,0.48,0.792,31.3,15.9,3.9,2
